dataset,missing_type,missing_rate,pred_len,method,predictor,impute,mse_mean,mse_std,mae_mean,mae_std,impute_mse_mean,n_seeds
Traffic,continuous_segment,0.3,96,saits,DLinear,none,0.6141216881278667,0.000655490071862787,0.37331044116562434,0.00042034181528214775,1.3582443258481938,3
Traffic,continuous_segment,0.3,96,saits,PatchTST,none,0.6040560490099496,0.10785127912029564,0.3758464708509766,0.04410908820950785,1.7428756898906304,3
Traffic,continuous_segment,0.3,96,saits,iTransformer,none,0.4514756999986238,0.002338330876882297,0.3000519853501625,0.004889891422188977,0.6420997615585448,3
Traffic,continuous_segment,0.3,96,simple,DLinear,linear,0.7689361687693262,0.00044679456821332023,0.47229313391950317,0.0004124553987174452,2.2065548486742173,3
Traffic,continuous_segment,0.3,96,simple,PatchTST,linear,0.5795461110105277,0.003928028617322437,0.3402731146563432,0.0008389811279326494,2.2065548486742173,3
Traffic,continuous_segment,0.3,96,simple,iTransformer,linear,0.49118364142347626,0.0017182241368115464,0.32935129438393757,0.00045002351529269824,2.2065548486742173,6
Traffic,continuous_segment,0.3,336,coifnet,iTransformer,none,0.6898106602546111,0.004707048785318808,0.38224783093910525,0.002659397989197987,2.5420782139795657,3
Traffic,continuous_segment,0.3,336,crib,iTransformer,none,0.7047128865599945,0.0027843874765508298,0.3877876020917117,0.0052785323578452776,1.4982484217891543,3
Traffic,continuous_segment,0.3,336,misstsm,iTransformer,none,0.6616868330237121,0.006881277858247106,0.36335340354699164,0.0008950270991528311,1.4982484217891543,3
Traffic,continuous_segment,0.3,336,saits,DLinear,none,0.6054440414248489,0.001976546567631662,0.3671187115466501,0.002144316774202137,0.8150158134908501,3
Traffic,continuous_segment,0.3,336,saits,PatchTST,none,0.5874971483886399,0.02895907391393091,0.37513686382864403,0.03265695097708808,0.8255684435899489,3
Traffic,continuous_segment,0.3,336,saits,iTransformer,none,0.49288393901714816,0.008188126667374245,0.31973751586253246,0.010456857956437108,0.6343810572461507,3
Traffic,continuous_segment,0.3,336,simple,DLinear,linear,0.7610845836128775,0.0003971061572522949,0.4734616684100134,0.00020008974129413597,2.2464667828126843,3
Traffic,continuous_segment,0.3,336,simple,PatchTST,linear,0.5945151710009637,0.004519663604096608,0.34917641096540636,0.0028635856036766877,2.246466782812684,3
Traffic,continuous_segment,0.3,336,simple,iTransformer,linear,0.5232836819445993,0.0014997359468932926,0.3420061070399647,0.0007279407956131207,2.246466782812684,3
Traffic,mixed,0.3,96,misstsm,iTransformer,none,0.699665496755426,0.017579601384689093,0.38492389644512964,0.009089732315185587,1.4780973906980135,3
Traffic,none,0.0,96,baseline,DLinear,none,0.6513265128947863,0.0008035484527621902,0.3993313490559032,0.0003339357280906024,0.0,3
Traffic,none,0.0,96,baseline,PatchTST,none,0.49688149615576815,0.0051975038224338545,0.2928720620389448,0.0004875760399994783,0.0,3
Traffic,none,0.0,96,baseline,iTransformer,none,0.4197509767021302,0.0017300752645906074,0.2928255343681548,0.00017753639864447973,0.0,3
